onset	duration	trial_type	trial_name	stim_file	stim_file_index
29.75	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	18
40.467	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	17
46.067	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	3
64.267	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	25
77.183	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	26
80.233	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	21
83.633	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	23
91.967	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	5
99.45	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	19
108.283	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	29
123.417	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	9
127.333	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	15
132.433	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	12
144.5	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	24
154.017	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	20
160.65	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	10
168.633	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	22
185.133	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	31
209.1	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	16
213.867	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	7
217.083	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	6
221.517	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	13
242.083	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	1
246.333	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	32
250.067	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	27
261.467	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	4
267.417	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	14
281.35	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	2
291.383	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	8
296.65	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	30
303.783	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	28
310.083	0.2	1	pattern	UMC-7T_hrfpattern_1.mat	11
