Specify the design of the VTS experiment whereby:
 - onsets = list describing the onsets of stimulations in sec
 - outputlist = array of which outputs need to be used at each onset (if more than one output used per onset put a comma between and seperate via semicolon)
 - amplitude = list describing the amplitude per onset
 - frequency = list describing frequency per onset in Hz
 - ondur = on duration of vibration in a stimulus in sec
 - offdur = off duration between vibration within a stimulus in sec
 - stimdur = total duration of the whole stimulus (needs to add up ondur and offdur couple of times) 

onsets 	| outputs       | amplitude	| frequency     | ondur		|offdur	|stimdur
5.309    1,2,3,4,5;        2;          110;           0.2;     0.4;     1.2;
7.948    1,2,3,4,5;        2;          110;            0.2;     0.05;	0.5;
10.539;    1,2,3,4,5;        2;          110;          0.2;     0.2;	0.8;
13.178;    1,2,3,4,5;        2;          110;   		0.4;	0.0;	0.4;
15.796;    1,2,3,4,5;        2;          110;   		0.8;	0.0;	0.8;
18.287;    1,2,3,4,5;        2;          110;   		0.2;	0.2;	0.8;
20.584;    1,2,3,4,5;        2;          110;   		0.2;	0.8;	2.0;
23.096;    1,2,3,4,5;       2;          110;            0.2;	0.1;	0.6;
25.505;    1,2,3,4,5;        2;          110;   		0.05;	0.0;	0.05;
28.197;    1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
30.565;    1,2,3,4,5;        2;          110;   		0.4;	0.0;	0.4;
32.800;    1,2,3,4,5;        2;          110;   		0.2;	0.1;	0.6;
35.278;    1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
37.592;    1,2,3,4,5;        2;          110;   		0.2;	0.05;	0.5;
40.096;    1,2,3,4,5;        2;          110;   		0.8;	0.0;	0.8;	
42.474;    1,2,3,4,5;        2;          110;   		0.1;	0.0;	0.1;
44.695;    1,2,3,4,5;        2;          110;   		0.2;	1.2;	2.8;
47.012;    1,2,3,4,5;        2;          110;   		0.2;	1.2;	2.8;  
49.302;    1,2,3,4,5;        2;          110;   		0.2;	0.0;	0.2;
51.873;    1,2,3,4,5;        2;          110;           0.2;	0.2;	0.8;
54.271;   1,2,3,4,5;        2;          110;     		0.2;	0.0;	0.2;
56.949;    1,2,3,4,5;        2;          110;    		0.2;	0.8;	2.0;
59.237;    1,2,3,4,5;        2;          110;   		1.2;	0.0;	1.2;
61.805;    1,2,3,4,5;        2;          110;    		0.4;	0.0;	0.4;  
64.518;    1,2,3,4,5;        2;          110;            0.2;	0.4;	1.2;
66.852;   1,2,3,4,5;        2;          110;            0.2;	0.0;	0.2;
69.386;    1,2,3,4,5;        2;          110;    		0.05;	0.0;	0.05;
