onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
13.031	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	14
14.277	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	4
15.803	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	34
17.387	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	32
18.668	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	22
20.025	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	29
21.506	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	16
22.807	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	10
24.502	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	26
25.822	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	23
27.225	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	5
28.477	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	8
30.027	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	30
31.430	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	12
33.107	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	18
34.365	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	24
35.969	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	7
37.621	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	1
38.965	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	13
40.398	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	9
42.100	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	28
43.734	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	25
45.061	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	15
46.494	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	27
47.895	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	35
49.436	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	36
50.654	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	33
52.111	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	19
53.697	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	20
55.002	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	2
56.561	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	11
58.059	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	3
59.695	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	21
61.348	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	31
62.711	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	17
64.197	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-4_events.mat	6
