onset	duration	trial_type	trial_name	stim_file	stim_file_index
0	0.5	1	  1	UMC-7T_prf_1.mat	1
0.85	0.5	2	  2	UMC-7T_prf_1.mat	2
1.7	0.5	3	  3	UMC-7T_prf_1.mat	3
2.55	0.5	4	  4	UMC-7T_prf_1.mat	4
3.4	0.5	5	  5	UMC-7T_prf_1.mat	5
4.25	0.5	6	  6	UMC-7T_prf_1.mat	6
5.1	0.5	7	  7	UMC-7T_prf_1.mat	7
5.95	0.5	8	  8	UMC-7T_prf_1.mat	8
6.8	0.5	9	  9	UMC-7T_prf_1.mat	9
7.65	0.5	10	 10	UMC-7T_prf_1.mat	10
8.5	0.5	11	 11	UMC-7T_prf_1.mat	11
9.35	0.5	12	 12	UMC-7T_prf_1.mat	12
10.2	0.5	13	 13	UMC-7T_prf_1.mat	13
11.05	0.5	14	 14	UMC-7T_prf_1.mat	14
11.9	0.5	15	 15	UMC-7T_prf_1.mat	15
12.75	0.5	16	 16	UMC-7T_prf_1.mat	16
13.6	0.5	17	 17	UMC-7T_prf_1.mat	17
14.45	0.5	18	 18	UMC-7T_prf_1.mat	18
15.3	0.5	19	 19	UMC-7T_prf_1.mat	19
16.15	0.5	20	 20	UMC-7T_prf_1.mat	20
17	0.5	21	 21	UMC-7T_prf_1.mat	21
17.85	0.5	22	 22	UMC-7T_prf_1.mat	22
18.7	0.5	23	 23	UMC-7T_prf_1.mat	23
19.55	0.5	24	 24	UMC-7T_prf_1.mat	24
20.4	0.5	25	 25	UMC-7T_prf_1.mat	25
21.25	0.5	26	 26	UMC-7T_prf_1.mat	26
22.1	0.5	27	 27	UMC-7T_prf_1.mat	27
22.95	0.5	28	 28	UMC-7T_prf_1.mat	28
23.8	0.5	29	 29	UMC-7T_prf_1.mat	29
24.65	0.5	30	 30	UMC-7T_prf_1.mat	30
25.5	0.5	31	 31	UMC-7T_prf_1.mat	31
26.35	0.5	32	 32	UMC-7T_prf_1.mat	32
27.2	0.5	33	 33	UMC-7T_prf_1.mat	33
28.05	0.5	34	 34	UMC-7T_prf_1.mat	34
28.9	0.5	35	 35	UMC-7T_prf_1.mat	35
29.75	0.5	36	 36	UMC-7T_prf_1.mat	36
30.6	0.5	37	 37	UMC-7T_prf_1.mat	37
31.45	0.5	38	 38	UMC-7T_prf_1.mat	38
32.3	0.5	39	 39	UMC-7T_prf_1.mat	39
33.15	0.5	40	 40	UMC-7T_prf_1.mat	40
0.5	0.5	41	 41	UMC-7T_prf_1.mat	41
34.85	0.5	42	 42	UMC-7T_prf_1.mat	42
35.7	0.5	43	 43	UMC-7T_prf_1.mat	43
36.55	0.5	44	 44	UMC-7T_prf_1.mat	44
37.4	0.5	45	 45	UMC-7T_prf_1.mat	45
38.25	0.5	46	 46	UMC-7T_prf_1.mat	46
39.1	0.5	47	 47	UMC-7T_prf_1.mat	47
39.95	0.5	48	 48	UMC-7T_prf_1.mat	48
40.8	0.5	49	 49	UMC-7T_prf_1.mat	49
41.65	0.5	50	 50	UMC-7T_prf_1.mat	50
42.5	0.5	51	 51	UMC-7T_prf_1.mat	51
43.35	0.5	52	 52	UMC-7T_prf_1.mat	52
44.2	0.5	53	 53	UMC-7T_prf_1.mat	53
45.05	0.5	54	 54	UMC-7T_prf_1.mat	54
45.9	0.5	55	 55	UMC-7T_prf_1.mat	55
46.75	0.5	56	 56	UMC-7T_prf_1.mat	56
47.6	0.5	57	 57	UMC-7T_prf_1.mat	57
48.45	0.5	58	 58	UMC-7T_prf_1.mat	58
49.3	0.5	59	 59	UMC-7T_prf_1.mat	59
50.15	0.5	60	 60	UMC-7T_prf_1.mat	60
51	0.5	61	 61	UMC-7T_prf_1.mat	61
51.85	0.5	62	 62	UMC-7T_prf_1.mat	62
52.7	0.5	63	 63	UMC-7T_prf_1.mat	63
53.55	0.5	64	 64	UMC-7T_prf_1.mat	64
54.4	0.5	65	 65	UMC-7T_prf_1.mat	65
55.25	0.5	66	 66	UMC-7T_prf_1.mat	66
56.1	0.5	67	 67	UMC-7T_prf_1.mat	67
56.95	0.5	68	 68	UMC-7T_prf_1.mat	68
57.8	0.5	69	 69	UMC-7T_prf_1.mat	69
58.65	0.5	70	 70	UMC-7T_prf_1.mat	70
59.5	0.5	71	 71	UMC-7T_prf_1.mat	71
60.35	0.5	72	 72	UMC-7T_prf_1.mat	72
61.2	0.5	73	 73	UMC-7T_prf_1.mat	73
62.05	0.5	74	 74	UMC-7T_prf_1.mat	74
62.9	0.5	75	 75	UMC-7T_prf_1.mat	75
63.75	0.5	76	 76	UMC-7T_prf_1.mat	76
64.6	0.5	77	 77	UMC-7T_prf_1.mat	77
65.45	0.5	78	 78	UMC-7T_prf_1.mat	78
66.3	0.5	79	 79	UMC-7T_prf_1.mat	79
67.15	0.5	80	 80	UMC-7T_prf_1.mat	80
68	0.5	81	 81	UMC-7T_prf_1.mat	81
68.85	0.5	82	 82	UMC-7T_prf_1.mat	82
